ID;PNAME;url;lead;description;pkey;pcounter;assignetype;avatar;originalkey;projecttype
15906;0409 Celonis (Projekt beendet);;b001671;;CELON3;8;3;10324;CELON3;software
15907;0410 E-Akte;;b001317;;EAKTE2021;390;2;10324;EAKTE2021;software
15908;0420 PARIS (Projekt beendet);;b000942;;PARIS2021;1;3;10324;PARIS2021;software
15909;0429 Löschen codierter Daten (LCD) in BOSS (Projekt beendet);;b001411;;LCDBOSS;1;3;10324;LCDBOSS;software
15910;0438 HUK-EKS (Projekt beendet);;b001411;;HUKEKS;2;3;10324;HUKEKS;software
15911;0421 Vertriebscontrolling 2025;;b002182;;VC2025;2;3;10324;VC2025;software
15912;0418 Datenmanagement (Projekt beendet);;b002182;;DMGMT;1;3;10324;DMGMT;software
15913;Anforderungsmanagement Schaden-Leistung;;b000071;;ANFSCHL;460;3;10324;ANFSCHL;software
15914;QChainz;;b002215;;QCHAINZ;1579;2;18800;QCHAINZ;software
16000;0439 Dokumentadministration Korrespondenzplattform;;b000942;;OUTKPNP;31;3;10324;OUTKPNP;software
16001;0417 Bestandsführung Lebe:N;;b003069;;WELF;2290;3;10324;WELF;software
16101;Bestand Leben;;b003069;;LEBEN;52113;3;10324;LEBEN;software
16102;0412 E-Rechnung (Projekt beendet);;b000308;;ERECH;15;3;10324;ERECH;software
16103;0440 Ausbau Digitalisierung HR-Prozesse;;b001680;;ADHRP;757;3;10324;ADHRP;software
16104;Outputmanagement;;b000524;;OM;2815;3;30705;OM;software
16105;0441 HR Reports und Management Self Service (Projekt beendet);;b000998;;HRRMSS;383;3;10324;HRRMSS;software
16106;Strategisches Marketing;https://projektmanagement/jira/projects/STMARK/summary;b002059;;STMARK;67;2;10324;STMARK;software
16200;3Party Image Approval;;b000990;;PIA3NEU;363;3;10324;PIA3NEU;business
16301;FutureWork:N;;b002149;;FWN;1;3;10324;FWN;software
16400;VICOS;;b002182;;BIKI;751;3;10324;BIKI;software
16500;Zielbild SHUK;;b001104;;ZBSHUK;0;3;10324;ZBSHUK;software
16600;Container Image Scan;;b000990;;CIS;4824;3;10324;CIS;business
16700;Demandmanagement;;b002179;;DEM;472;3;10324;DEMGMT;software
16800;0457 Dunkelverarbeitung Antrag Leben;;b001792;;DVAL;199;3;10324;DVAL;software
16900;Automatisierung IT-B-AW ;;b003069;"Für technische Modul- und Script-Entwicklung zur vereinfachten Administration von technischen Subsystemen; keine klassische Anwendungs-Software-Entwicklung für Endanwender; (Automatisierung der IT-B-AW mit Ansible tracken)";AITBAW;175;3;10324;AITBAW;software
16901;Bereichsübergreifende Personalkosten;;b001794;;BUEPEK;46;3;10324;BUEPEK;business
17000;Compliance und Recht;;b001716;;COMRE;22;3;10203;COMRE;business
17100;0448 Zentrale Risikoprüfungskomponente Leben (Projekt beendet);;b001792;;ZRPKL;1;3;10324;ZRPKL;software
17200;Produkt Template;;b000675;;PRODUKT;0;3;10324;PRODUKT;software
17300;Linie AE-KV;;b001064;;KV;715;3;10324;KV;software
17500;Anforderungen Digitale Vertriebsunterstützung;;b000690;;ADV;440;3;10324;ADV;software
17501;0462 Wüstenrot (Projekt beendet);;b001621;;WUEST;109;3;10324;WUEST;software
17600;0436 NKV-Anbindung Telematikinfrastruktur;;b001064;;NATI;110;3;10324;NATI;software
17700;0463 Kooperation BAYERISCHE - Pangaea Life(Projekt beendet);;b002172;;KBPL;25;3;10324;KBPL;software
17801;0446 Digitale Rentenübersicht;;b000674;;DRENT;1;3;10324;DRENT;software
17901;0450 ZMV-Digital (Projekt beendet);;b001411;;ZMVD;1;3;10324;ZMVD;software
17902;0451 BOSS-BU 2022 (Projekt beendet);;b001411;;BOSSBU;3;3;10324;BOSSBU;software
17903;0456 Einführung RAN und TaxData;;b000674;;RUTD;74;3;10324;RUTD;software
17904;0465 Aufbau eines GwG-Service;;b000188;;GWGS;694;3;10324;GWGS;software
17906;0455 RENO (Projekt beendet);;b002272;;RENO;82;2;10324;RENO;software
17907;0461 e-Antrag FrankeBornberg-Softfair;;b000424;;EAFBS;237;3;10324;EAFBS;software
17908;0464 Dok:N;;b003069;;MITV;206;3;10324;MITV;software
17909;0447 XEMPUS Plattform (Projekt beendet);;b000424;;XEMPUS;25;3;10324;XEMPUS;software
17910;0452 Brieftaube (Projekt beendet);;b001411;;BRIEF;6;3;10324;BRIEF;software
18101;0395 Neue Produkte Leben;;b000424;;NPL;4749;3;10324;NPL;software
18200;0433 Cash Management;;b000907;;CASHM;472;3;10324;CASHM;software
18300;0394 Digital Procure-to-Pay (Projekt beendet);;b001599;;DPTP;274;3;10324;DPTP;software
18400;MK Leben Programme;;b001666;;MKP20;235;3;10324;MKP20;software
18500;Facharchitektur;;b002251;;FAC;163;3;10324;FAC;software
18600;UX/UI;;b003069;;UXUI;298;3;10204;UXUI;software
18800;0467 Kostenverteilung neu;;b001959;;KVERTN;277;3;10324;KVERTN;software
18900;Webcontentmanagement-System;;b002292;;WCMS;1513;2;10207;WCMS;software
19000;E2E-Tests;;b003069;;E2ET;257;3;10324;E2ET;software
19001;Steuerabteilung;;b002142;;TAX;26;3;10324;TAX;business
19100;Fachliches Anforderungsmanagement KBM Leben;;b003069;;KBMFAM;383;3;10324;KBMFAM;software
19101;Kundenservice IOS;;b003069;;KSIOS;398;3;10324;KSIOS;software
19200;Marketing Insights;;b002128;;MARKIN;271;3;10324;MARKIN;software
19300;Leben Agil;;b000696;;LAGIL;1942;3;10324;LAGIL;software
19400;Vertrieb Recruiting und Vertriebszugänge;;b001491;;VRVZ;218;3;10324;VRVZ;software
19500;Digitalisierung mit Persis;;b001680;;DIGIP;35;3;10324;DIGIP;software
19600;HUK EKS;;b001795;;HEKS;76;3;10324;HEKS;software
19700;Marketingmanager;;b000417;;MMNG;0;3;10324;MMNG;software
19800;AM-EKV (Projekt beendet);;b000820;;AMEKV;214;3;10324;AMEKV;software
19900;Pricing Schaden / Unfall;;b001918;;PSU;213;3;10324;PSU;software
20000;0469 Einführung bKV Portal;;b000424;;EBKVP;44;3;10324;EBKVP;software
20001;0470 EWE Opt-In-Out;;b002179;;EOIO;3;3;10324;EOIO;software
20100;Fachliches Anforderungsmanagement Kranken;;b001320;;KBMFAKV;68;3;10324;KBMFAK;software
20101;Anforderungsmanagement Composit - Vertrieb;;b003069;;AMCV;209;3;10324;AMCV;software
20102;0471 Einführung SIEM-System;;b003069;;SIEM;2;3;10324;SIEM;software
20200;Linie AE-BIACC;;b002154;;LBIA;1051;3;10324;LBIA;software
20201;0468 Modern IT-Workplace mit Microsoft 365;;b003069;;M365;3;3;10324;M365;software
20300;Keycloak Service Desk;https://architektur/wiki/display/KEYCLOAK;b001591;Automatisierung von Prozessen rund um das Thema Keycloak.;KC;1;3;29201;KC;business
20400;Kundenzentrierung;;b002019;;KDZ;246;3;29703;KDZ;software
20500;Recruiting der Zukunft;;b002375;;RDZ;168;3;10324;RDZ;software
20600;FAM Projekte, Prozesse, Inkasso;;b000823;;FAMPPI;113;3;10324;FAMPPI;software
20800;0472 neue Steuermeldung Krankheitskostenversicherung;;b001064;;NSKKV;28;3;10324;NSKKV;software
20900;Self Service Portal Betrieb;;b001081;;SSPB;8;3;10324;SSPB;software
21000;0473 CSRD Nachhaltigkeitsberichterstattung;;b001391;;CSRD;24;3;10324;CSRD;software
21100;Programm-Management;;b003069;;PRGM;155;3;10324;PRGM;software
21200;API Gateway;https://architektur/wiki/display/APIGW;b001591;Entwicklung und Wartung des API Gateways auf Basis von Spring Cloud Gateway.;APIGW;64;3;31100;APIGW;software
21201;Move IT;;b001411;;MOV;35;3;10324;MOV;software
21300;POC Ablösung DOPIX - kwsoft;;b003069;;PADK;321;3;10011;PADK;software
21301;Fachliches Anforderungsmanagement SHUK PP;;b002149;;FAMSHUKP;212;3;10324;FAMSHUKP;software
21400;testprojekt;;b000675;;TES;22;3;10324;TES;software
21500;AGIL Dev;;b000675;;ADE;420;3;10324;ADE;software
21600;Automatisierung Betrieb;;b000990;;AUBE;3;3;10324;AUBE;software
21601;Anforderungsmanagement Tech Stream;;b003069;;AMTECHST;558;2;10324;AMTECHST;software
21700;Anforderungsmanagement BIACC;;b002154;;AMBIACC;127;3;10324;AMBIACC;software
21800;Linie AE-COMN;;b000983;;COMN;343;3;10324;COMN;software
21801;Linie AE-COCO;;b000895;;COCO;38;3;10324;COCO;software
21802;Linie AE-ZV;;b000308;;ZV;90;3;10324;ZV;software
21803;Linie AE-HR;;b001136;;HR;90;3;10324;HR;software
21900;0476 SalesN:avi;;b003069;;SALN;32;3;10324;SALN;software
22000;0477 NUSI;;b000861;;NUSI;56;3;10324;NUSI;software
22001;0481 BTpur;;b000424;;BTPUR;624;3;10324;BTPUR;software
22002;0482 Update IT-Infrastruktur;;b000424;;UPIN;25;3;10324;UPIN;software
22003;0483 aus 3 mach 1;;b000861;;A3M1;0;3;10324;A3M1;software
22004;0480 DORA;;b002140;Aus der DORA ergeben sich neue, über die VAIT hinausgehende weitreichende Anforderungen für die IT und IT-Governance und die Steuerung von IKT-Risiken und IKT-Dienstleistern.  In einer Vorstudie in 2023 wurde durch eine FIT-GAP-Analyse identifiziert, für welche Anforderungen aus der DORA-Verordnung die Nürnberger bereits Maßnahmen etabliert hat und an welchen Stellen noch Handlungsbedarf besteht. Als Ergebnis aus der Vorstudie wurde ein konkreter Maßnahmenkatalog (58 Maßnahmen) sowie eine Umsetzungsplanung für das Jahr 2024 entwickelt. ;DORA;33;3;34403;DORA;software
22005;0475 XEMPUS bEKS;;b000424;;XEMP;2;3;10324;XEMP;software
22100;Linie AE-CST;;b003069;;CST;88;3;10324;CST;software
22101;Beratungstechnologie;;b000424;;BTL;1811;3;10324;BTL;software
22200;0442 HR-Suite (Vorstudie);;b001680;;HRS;2;3;10324;HRS;software
22301;Komposit;;b001849;;KOMP;2921;3;10324;KOMP;software
22400;0478 GuV in SAP;;b000924;;GUV;2;3;10324;GUV;software
22501;Onlineredaktion;https://projektmanagement/jira/browse/ONRED;b000989;;ONRED;295;3;35201;ON;software
22502;0485 Produktpaket Leben 01.2025;;b003069;;PPL25;86;3;10324;PPL25;software
22503;0484 Barrierefreiheitsstärkungsgesetz;;b003069;;BFSG;15;3;10324;BFSG;software
22600;MK Leben;;b001818;;MKL;0;3;10324;MKL;software
22700;IT-Qualifizierung;https://architektur/wiki/display/AEQ;b002033;;QUAL;147;3;10011;QUAL;software
22800;0487 Pluto;;b001337;;PLUTO;11;3;10324;PLUTO;software
22900;0489 eVB Systemerneuerung;;b000424;;EVBSE;72;3;10324;EVBSE;software
22901;0488 Vorstudie Ablösung VICOS;;b002154;;VAV;27;3;10324;VAV;software
23000;Anforderungsmanagement DEV;;b000541;;AMD;2;3;10324;AMD;software
