source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
77343;Issue;15235;Component;IssueComponent;
77344;Issue;13623;Component;IssueComponent;
77344;Issue;14636;Version;IssueFixVersion;
77345;Issue;11400;Component;IssueComponent;
77345;Issue;13820;Component;IssueComponent;
77345;Issue;13822;Component;IssueComponent;
77347;Issue;12442;Component;IssueComponent;
77347;Issue;12512;Component;IssueComponent;
77347;Issue;15433;Version;IssueVersion;
77347;Issue;15607;Version;IssueFixVersion;
77349;Issue;12447;Component;IssueComponent;
77349;Issue;12527;Component;IssueComponent;
77349;Issue;15313;Version;IssueVersion;
77353;Issue;12521;Component;IssueComponent;
77353;Issue;15433;Version;IssueVersion;
77354;Issue;12511;Component;IssueComponent;
77354;Issue;15433;Version;IssueVersion;
77355;Issue;12527;Component;IssueComponent;
77356;Issue;12527;Component;IssueComponent;
77357;Issue;12442;Component;IssueComponent;
77357;Issue;15433;Version;IssueVersion;
77361;Issue;14305;Component;IssueComponent;
77361;Issue;14422;Component;IssueComponent;
77362;Issue;12527;Component;IssueComponent;
77364;Issue;12442;Component;IssueComponent;
77364;Issue;15433;Version;IssueVersion;
77365;Issue;12527;Component;IssueComponent;
77369;Issue;13616;Component;IssueComponent;
77369;Issue;15575;Version;IssueFixVersion;
77370;Issue;12448;Component;IssueComponent;
77370;Issue;15409;Version;IssueVersion;
77371;Issue;12527;Component;IssueComponent;
77372;Issue;12527;Component;IssueComponent;
77373;Issue;12448;Component;IssueComponent;
77373;Issue;15433;Version;IssueVersion;
77377;Issue;13516;Component;IssueComponent;
77377;Issue;15433;Version;IssueVersion;
77378;Issue;12447;Component;IssueComponent;
77378;Issue;12527;Component;IssueComponent;
77379;Issue;12447;Component;IssueComponent;
77379;Issue;12527;Component;IssueComponent;
77380;Issue;12447;Component;IssueComponent;
77380;Issue;12527;Component;IssueComponent;
77381;Issue;12448;Component;IssueComponent;
77384;Issue;14011;Component;IssueComponent;
77385;Issue;14012;Component;IssueComponent;
77388;Issue;13941;Component;IssueComponent;
77390;Issue;13616;Component;IssueComponent;
77390;Issue;14640;Version;IssueFixVersion;
77390;Issue;14640;Version;IssueVersion;
77392;Issue;13941;Component;IssueComponent;
77393;Issue;13616;Component;IssueComponent;
77393;Issue;14640;Version;IssueFixVersion;
77393;Issue;14640;Version;IssueVersion;
77394;Issue;13616;Component;IssueComponent;
77394;Issue;14640;Version;IssueFixVersion;
77394;Issue;14640;Version;IssueVersion;
77395;Issue;13616;Component;IssueComponent;
