source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
76794;Issue;14340;Component;IssueComponent;
76794;Issue;14640;Version;IssueFixVersion;
76794;Issue;14640;Version;IssueVersion;
76828;Issue;16474;Version;IssueFixVersion;
76828;Issue;16474;Version;IssueVersion;
76832;Issue;13616;Component;IssueComponent;
76832;Issue;14340;Component;IssueComponent;
76832;Issue;14640;Version;IssueFixVersion;
76832;Issue;14640;Version;IssueVersion;
76834;Issue;12516;Component;IssueComponent;
76834;Issue;15433;Version;IssueVersion;
76834;Issue;16204;Version;IssueFixVersion;
76837;Issue;12441;Component;IssueComponent;
76837;Issue;12442;Component;IssueComponent;
76837;Issue;12512;Component;IssueComponent;
76837;Issue;15433;Version;IssueVersion;
