ID;CUSTOMFIELDTYPEKEY;CUSTOMFIELDSEARCHERKEY;cfname;DESCRIPTION;defaultvalue;FIELDTYPE;PROJECT;ISSUETYPE;cfkey;lastvalueupdate;issueswithvalue
13403;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Jenkins-Buildlauf;Die URL auf den Jenkins-Buildlauf.;;;;;;2021-10-19 14:41:13.090;54.0
13404;com.okapya.jira.checklist:checklist;com.okapya.jira.checklist:checklist-searcher;editierbare Checkliste;;;;;;;2025-01-13 17:29:07.200;8951.0
13406;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Ansprechpartner;;;;;;;2021-01-18 11:48:51.560;17.0
13500;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;ErstellungsDatum-Merker;;;;;;;;0.0
13501;com.coresoftlabs.component-picker:multi-component-picker;com.coresoftlabs.component-picker:multi-component-searcher;Whitelist PROD dauerhaft;Kennzeichnet, für welche Komponenten dauerhaft die Deployment-Regeln für PROD nicht gelten, da dies hausweit abgestimmt ist, z. B. über die Architektur;;;;;;;0.0
13502;com.coresoftlabs.component-picker:multi-component-picker;com.coresoftlabs.component-picker:multi-component-searcher;Whitelist PROD temporär;Kennzeichnet, für welche Komponenten temporär die Deployment-Regeln für PROD nicht gelten, z. B. für eine Deployment-Initialisierung;;;;;;;0.0
13600;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Jenkins-Buildläufe;Die Bildläufe im Jenkins;;;;;;2022-09-23 15:51:45.117;4561.0
13601;com.atlassian.jira.plugin.system.customfieldtypes:datetime;com.atlassian.jira.plugin.system.customfieldtypes:datetimerange;Erledigt-Datum;angelegt für DOKUMENSTV;;;;;;2025-01-13 15:29:07.087;10671.0
13700;com.atlassian.jira.plugin.system.customfieldtypes:labels;com.atlassian.jira.plugin.system.customfieldtypes:labelsearcher;DOPiX-Admin AP;Kennzeichnung von Anforderungen zu einem von dem Administratoren geschnürten Arbeitspaket für die interne Arbeitsstruktur;;;;;;2021-11-25 10:34:50.917;0.0
13800;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Vorhabentyp;;;;;;;2025-01-10 08:15:23.870;191.0
13801;com.atlassian.jira.plugin.system.customfieldtypes:float;com.atlassian.jira.plugin.system.customfieldtypes:exactnumber;Scorewert;;;;;;;;4.0
13802;com.atlassian.jira.plugin.system.customfieldtypes:userpicker;com.atlassian.jira.plugin.system.customfieldtypes:userpickergroupsearcher;Anforderer;;;;;;;2025-01-13 13:29:06.980;1217.0
13803;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Geschaeftseinheit;für Demandmanagement;;;;;;2025-01-09 12:15:22.230;1263.0
13804;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Begründung Verworfen;;;;;;;2024-01-18 09:11:41.087;165.0
13805;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;zurückgestellt bis;;;;;;;2024-11-21 15:08:33.640;35.0
13807;com.atlassian.jira.plugin.system.customfieldtypes:userpicker;com.atlassian.jira.plugin.system.customfieldtypes:userpickergroupsearcher;Technischer Anwendungsverantwortlicher;;;;;;;2025-01-08 14:15:20.413;1118.0
13808;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;Testbeginn SIT;;;;;;;2025-01-03 15:09:42.320;807.0
13809;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;Testende SIT;;;;;;;2025-01-03 15:09:42.320;792.0
13810;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;Testbeginn VPRD;;;;;;;2025-01-08 14:15:20.413;974.0
13811;com.atlassian.jira.plugin.system.customfieldtypes:datepicker;com.atlassian.jira.plugin.system.customfieldtypes:daterange;Testende VPRD;;;;;;;2025-01-08 14:15:20.413;969.0
13900;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;icingaKey;Required for Icinga Integration;;;;;;2021-09-15 15:12:00.000;3.0
13901;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;icingaStatus;Required for Icinga Integration.;;;;;;2022-07-19 10:59:37.003;3.0
13902;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;geplantes Release_alt;"dieses Feld wird nicht mehr verwendet, dafür gibt es das Feld ""Geplantes Release"" (Version-Picker)";;;;;;2021-10-19 11:21:23.927;5.0
13903;com.okapya.jira.checklist:checklist;com.okapya.jira.checklist:checklist-searcher;Definition of Done;;;;;;;2025-01-13 17:29:07.200;26420.0
13904;com.atlassian.jira.plugin.system.customfieldtypes:labels;com.atlassian.jira.plugin.system.customfieldtypes:labelsearcher;Fachsendungsteil;Nummer für den Fachsendungsteil bzw. Druckstücknummer bzw. Briefnummer;;;;;;2025-01-10 12:15:24.250;0.0
13905;com.atlassian.jira.plugin.system.customfieldtypes:labels;com.atlassian.jira.plugin.system.customfieldtypes:labelsearcher;Fachsendungsschlüssel;Eindeutige ID für eine Fachsendung;;;;;;2024-06-26 17:24:27.517;0.0
13906;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Kategorie;Art der Aufgabe;;;;;;2024-06-26 17:24:27.517;3638.0
13907;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;technischer Weg;Art des Briefes (Sendung);;;;;;2025-01-09 13:15:22.283;399.0
14000;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Abgeleitet von;;;;;;;2021-08-19 09:20:21.177;3.0
14100;com.atlassian.jira.plugin.system.customfieldtypes:labels;com.atlassian.jira.plugin.system.customfieldtypes:labelsearcher;ID Fachbereich;ID zur Auftragszuordnung aus dem FB;;;;;;2021-11-05 11:01:51.130;0.0
14101;com.atlassian.jira.plugin.system.customfieldtypes:labels;com.atlassian.jira.plugin.system.customfieldtypes:labelsearcher;Freigabeschlüssel;;;;;;;2024-10-28 15:19:08.667;0.0
14102;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Deploymentauftrag;;;;;;;2024-04-29 12:07:42.710;72254.0
14200;com.atlassian.jira.plugin.system.customfieldtypes:float;com.atlassian.jira.plugin.system.customfieldtypes:exactnumber;Restaufwand Entwicklung;Geschätzter Aufwand in Personentagen;;;;;;2024-06-28 11:24:31.783;887.0
14300;com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect;com.atlassian.jira.plugin.system.customfieldtypes:cascadingselectsearcher;Geschäftseinheit / OE (E2);Auftraggebende Geschäftseinheit / Operationseinheit;;;;;;2022-04-28 15:05:54.080;3.0
14400;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Jenkins-Scanlauf;;;;;;;2024-12-13 12:12:02.387;95.0
14401;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Scan-Ergebnis;;;;;;;2023-10-16 13:15:22.853;15.0
14501;com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Cluster Zuordnung;Bitte kennzeichnen Sie zu welchem Cluster das Deployment gehört, bzw. auf welche Cluster das Deployment Auswirkungen hat;;;;;;2024-03-28 14:09:26.530;15756.0
14600;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Angebotsnummer;;;;;;;2024-07-25 15:06:44.730;13.0
14601;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Auftragsnummer;;;;;;;2024-11-29 07:05:52.827;1457.0
14700;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Nutzerkreis;;;;;;;2025-01-13 15:29:07.087;404.0
14701;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Wunsch-Quartal;gewünschtes Quartal für die Auslieferung (für AMAKAB );;;;;;2025-01-09 16:15:22.600;186.0
14800;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;getestete Umgebung;;;;;;;2024-03-01 14:06:43.690;117.0
14900;com.atlassian.jpo:jpo-custom-field-parent;com.atlassian.jpo:jpo-custom-field-parent-searcher;Parent Link;;;;;;;2025-01-09 15:15:22.393;0.0
14901;com.atlassian.jpo:jpo-custom-field-baseline-start;com.atlassian.jpo:jpo-custom-field-baseline-start-searcher;Target start;The targeted start date. This custom field is created and required by Portfolio for Jira.;;;;;;2024-12-13 17:12:02.543;0.0
14902;com.atlassian.jpo:jpo-custom-field-baseline-end;com.atlassian.jpo:jpo-custom-field-baseline-end-searcher;Target end;The targeted end date. This custom field is created and required by Portfolio for Jira.;;;;;;2025-01-10 09:15:23.927;0.0
14903;com.atlassian.jpo:jpo-custom-field-original-story-points;com.atlassian.jpo:jpo-custom-field-original-story-points-searcher;Original story points;;;;;;;;0.0
14904;com.atlassian.teams:rm-teams-custom-field-team;com.atlassian.teams:rm-teams-custom-field-team-searcher;Team;;;;;;;2025-01-13 17:29:07.200;0.0
15000;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Program Increment;Program Increment field created by BigPicture;;;;;;;0.0
15007;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Risk probability;Risk Probability field used by BigPicture plugin. (Only Issues with both, Risk Probability and Risk Consequence values selected will appear in Risk Matrix);;;;;;;0.0
